Subject,'CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival'
CoVarianceScalar,'0.00','0.00','0.00','0.00','0.00','0.00','0.01','0.01','0.01','0.03','0.03','0.03','0.03G','0.03G','0.03G','0.10','0.10','0.10','0.30','0.30','0.30','0.30G','0.30G','0.30G','1.00','1.00','1.00','1.00G','1.00G','1.00G','0.00','0.00','0.00','0.00','0.00','0.00','0.01','0.01','0.01','0.03','0.03','0.03','0.03G','0.03G','0.03G','0.10','0.10','0.10','0.30','0.30','0.30','0.30G','0.30G','0.30G','1.00','1.00','1.00','1.00G','1.00G','1.00G','0.00','0.00','0.00','0.00','0.00','0.00','0.01','0.01','0.01','0.03','0.03','0.03','0.03G','0.03G','0.03G','0.10','0.10','0.10','0.30','0.30','0.30','0.30G','0.30G','0.30G','1.00','1.00','1.00','1.00G','1.00G','1.00G','0.00','0.00','0.00','0.00','0.00','0.00','0.01','0.01','0.01','0.03','0.03','0.03','0.03G','0.03G','0.03G','0.10','0.10','0.10','0.30','0.30','0.30','0.30G','0.30G','0.30G','1.00','1.00','1.00','1.00G','1.00G','1.00G','0.00','0.00','0.00','0.00','0.00','0.00','0.01','0.01','0.01','0.03','0.03','0.03','0.03G','0.03G','0.03G','0.10','0.10','0.10','0.30','0.30','0.30','0.30G','0.30G','0.30G','1.00','1.00','1.00','1.00G','1.00G','1.00G','0.00','0.00','0.00','0.00','0.00','0.00','0.01','0.01','0.01','0.03','0.03','0.03','0.03G','0.03G','0.03G','0.10','0.10','0.10','0.30','0.30','0.30','0.30G','0.30G','0.30G','1.00','1.00','1.00','1.00G','1.00G','1.00G'
NTrials,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.35,2,1,0,0,1,4,2,0,1,4,4,1,2,1,0,3,2,1,6,2,4,4,6,10,7,4,4,4,1,3,2,0,1,0,1,0,0,0,0,0,0,2,4,0,0,1,1,0,3,0,3,2,1,1,4,1,5,2,0,3,4,5,0,5,1,4,0,4,4,2,3,3,2,1,3,1,0,2,2,5,2,1,4,3,1,4,3,2,2,0,1,2,2,1,1,0,0,0,0,2,3,1,0,0,0,3,1,1,2,1,3,2,1,2,0,2,0,0,0,2,4,3,2,1,1,0,0,0,3,1,1,1,1,0,0,1,5,2,2,3,3,0,2,4,7,3,5,1,1,1,8,2,3,1,0,2,0,1,1,4,4,3,0,0,1,0,1,2,2,2,7,5,5,0,5,2,4,2,1,3
0.36,3,1,2,0,0,5,4,1,4,6,7,4,5,3,1,7,5,5,9,4,6,5,8,9,8,7,8,8,6,5,5,1,1,0,0,0,1,1,1,1,2,2,2,0,1,3,3,2,2,1,2,5,4,2,2,3,6,2,2,6,6,8,7,5,4,3,2,4,3,0,2,5,2,3,3,3,3,0,5,1,4,2,2,3,4,7,5,4,2,7,3,3,0,3,2,2,2,0,2,1,5,1,1,2,0,0,7,5,6,0,3,6,4,5,3,4,3,0,5,7,8,4,6,0,4,3,0,2,1,4,2,1,4,2,5,7,5,1,3,4,2,3,2,4,5,7,7,1,1,3,5,4,5,2,2,4,3,5,5,2,3,3,0,7,2,2,0,1,2,3,9,4,5,5,6,0,3,7,7,5
0.37,7,2,4,2,0,7,2,3,5,3,11,7,3,4,10,3,6,6,10,7,9,6,12,5,12,6,6,9,10,5,8,6,8,2,4,3,1,0,4,2,2,5,3,3,4,4,2,2,4,3,6,5,2,2,5,5,9,5,11,8,10,5,6,4,7,5,5,9,6,4,2,5,6,4,9,4,2,3,4,5,7,6,3,3,10,6,3,11,11,7,5,5,2,6,3,2,3,2,4,2,11,4,3,3,3,3,8,5,3,9,4,4,4,8,2,3,5,5,7,11,5,7,3,2,1,3,3,3,6,4,5,4,2,0,2,4,5,2,2,5,3,2,3,5,10,10,5,2,3,8,11,7,8,3,4,5,2,2,3,7,6,5,7,6,5,3,2,4,3,8,6,6,4,8,8,7,3,8,4,9
0.38,7,7,4,1,8,9,12,7,9,5,14,5,13,6,8,11,9,10,16,8,12,11,11,8,22,11,9,14,6,6,11,2,6,3,3,6,9,5,10,5,6,6,3,1,2,8,7,6,11,10,13,8,8,5,10,10,7,4,7,3,16,10,12,7,14,9,7,11,13,10,7,6,6,8,10,9,5,9,9,11,5,9,4,9,12,7,6,6,11,9,3,5,5,9,6,4,2,8,6,10,10,3,3,8,2,7,8,8,14,8,6,4,6,7,11,5,6,6,5,10,14,6,13,3,5,4,2,5,2,2,7,5,7,3,7,10,9,9,3,7,6,4,9,5,9,8,5,4,6,5,9,9,6,12,5,6,5,8,8,8,11,10,7,7,9,5,5,7,10,9,18,6,4,9,7,7,12,6,11,10
0.39,3,6,8,5,8,16,15,11,11,9,21,11,11,6,16,11,10,13,13,10,13,16,13,19,17,14,15,17,16,17,16,12,6,9,7,8,9,7,8,8,8,11,5,8,4,6,10,7,8,7,9,13,9,8,7,8,12,10,10,11,18,15,15,11,11,16,7,7,9,10,9,12,5,10,14,11,13,10,10,9,11,15,11,16,16,11,8,10,12,8,6,6,12,6,13,8,14,5,8,10,16,8,8,6,11,8,16,17,14,9,12,12,8,14,12,8,11,7,16,10,11,10,13,4,3,5,7,7,5,5,10,12,9,10,14,11,10,10,10,12,8,10,9,10,6,9,10,11,7,7,14,11,14,13,6,11,12,10,13,9,17,12,11,10,12,11,13,11,13,8,20,9,7,12,13,12,9,9,14,9
0.4,22,22,18,21,16,14,17,12,18,17,12,13,19,21,12,13,15,12,13,17,18,20,15,12,12,13,16,12,18,12,9,21,14,15,17,21,12,18,18,18,17,23,14,18,20,16,16,18,10,19,14,21,15,13,19,14,13,20,19,20,10,15,14,23,14,16,23,14,21,10,17,18,23,17,17,13,22,19,17,20,19,16,21,15,12,16,23,22,18,20,25,17,18,15,14,21,16,11,22,16,14,15,19,20,18,17,8,18,15,18,17,18,18,19,16,20,19,25,20,12,23,15,16,23,23,25,20,14,22,23,24,21,15,23,17,18,21,14,17,19,19,24,19,23,20,12,21,21,22,15,9,15,16,16,17,21,13,16,16,20,15,16,21,16,17,21,19,19,17,17,16,12,18,16,16,14,17,16,18,15
0.41,9,15,13,19,13,21,17,14,15,23,23,11,10,14,25,16,13,14,21,16,17,17,25,22,20,14,16,25,19,15,23,20,21,14,16,17,16,18,18,11,16,14,11,21,11,20,21,13,17,18,20,18,18,18,15,12,14,20,16,12,20,18,21,17,14,15,12,22,14,20,9,11,14,13,14,21,7,10,16,14,16,17,10,20,15,14,13,18,11,14,14,19,20,21,17,14,14,21,16,17,20,18,8,17,13,15,18,21,21,21,17,19,14,22,14,11,15,16,17,14,11,18,24,12,9,9,12,18,15,13,11,13,16,17,8,23,19,15,16,15,18,16,13,14,19,14,12,14,21,13,19,18,17,22,11,13,21,12,11,21,17,18,18,16,20,8,15,15,16,21,22,22,13,18,13,20,15,12,14,13
0.42,13,12,22,17,20,21,24,19,26,22,24,22,14,22,23,23,18,20,27,16,18,19,23,17,25,22,15,25,18,20,27,18,23,22,21,19,21,19,27,15,17,16,18,21,15,20,20,17,14,21,20,18,13,20,20,20,23,15,17,13,25,22,21,15,20,12,18,16,12,23,15,23,16,15,15,22,13,19,20,15,16,17,16,21,18,18,16,13,20,14,14,16,21,23,21,15,19,23,19,26,22,24,15,24,19,17,20,23,21,16,20,19,13,20,19,22,14,11,16,19,14,21,27,17,16,11,18,18,12,16,14,20,22,15,17,19,16,14,16,19,18,17,16,16,20,17,17,13,18,11,17,22,21,21,20,20,23,23,14,19,24,24,20,17,20,15,17,19,20,16,23,19,19,18,18,17,19,15,15,14
