Subject','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_committee','CN_AT_committee','CN_AT_committee','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_observer','CN_AT_observer','CN_AT_observer','CN_AT_revival','CN_AT_revival','CN_AT_revival'
Acquisition',1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Selection',0.04878529,0.028485027,0.021460453,0.021745061,0.023097092,0.021137776,0.03060892,0.026624715,0.022819547,0.04686167,0.030424336,0.019360186,0.045332658,0.024390259,0.021461161,0.045770025,0.02758464,0.031434937
0',0.021526132,0.020789084,0.02403209,0.020958148,0.014935564,0.01973479,0.036870433,0.028882027,0.037317053,0.020120607,0.024189198,0.022558094,0.022605918,0.029930637,0.040893604,0.023445795,0.022249778,0.02971047
0.01',0.022246451,0.019660579,0.022505189,0.019536813,0.015813382,0.022807558,0.028369206,0.02833691,0.059164474,0.020182466,0.016996819,0.020729763,0.018615329,0.022318665,0.037877518,0.016974577,0.0283975,0.0331158
0.03',0.023927225,0.027648006,0.021079266,0.02462476,0.023609897,0.029964442,0.023316286,0.028706695,0.033523205,0.01896802,0.03365759,0.021226456,0.029392776,0.030293715,0.027803939,0.031293505,0.026350189,0.026814899
0.03 Gray',0.028557234,0.0257761,0.022096189,0.024832257,0.016764642,0.022265772,0.029116116,0.028467779,0.04533975,0.027168705,0.021381917,0.019635679,0.024469056,0.021225705,0.034467426,0.024998518,0.029510703,0.024493321
0.1',0.029626462,0.029067443,0.024755834,0.023576116,0.025788625,0.022183892,0.025619846,0.031450854,0.028128893,0.033779775,0.027811145,0.02181699,0.034954942,0.036731934,0.028820923,0.029936054,0.025451704,0.028806261
0.3',0.036960653,0.029863755,0.037687549,0.032445873,0.024302025,0.026460662,0.030445417,0.037210893,0.035530834,0.028248256,0.028748958,0.028677358,0.030109152,0.029118285,0.023871862,0.022862412,0.031910258,0.035480356
0.3 Gray',0.037503576,0.027027292,0.03544154,0.031021703,0.031331601,0.022771126,0.030109555,0.040808178,0.024633638,0.033151199,0.031366797,0.027984031,0.033444059,0.032214162,0.041853163,0.025220077,0.032674603,0.028268315
1',0.055304207,0.031200754,0.038236475,0.032313298,0.03253551,0.029900209,0.034535958,0.036715096,0.042438481,0.028512359,0.032145129,0.036197579,0.038168842,0.034560058,0.048697097,0.046523659,0.028149654,0.033308916
1 Gray',0.027070025,0.032272785,0.027223983,0.027922475,0.032582845,0.032346501,0.044529139,0.034739577,0.038166111,0.050067122,0.033472968,0.031787508,0.029762062,0.02960549,0.034130499,0.03234502,0.033610491,0.03054178
